"","ID","WA_or_IG","Control_Treatment","Politics","gender","age","Education","News_conso_W1","IG_News_conso_W1","WA_News_conso_W1","informed_News_W1","informed_POL_W1","interest_News_W1","interest_POL_W1","Type_MEDIA_W1","NOTIF_W1","Trust_News_W1","News_conso_W2","IG_News_conso_W2","WA_News_conso_W2","informed_News_W2","informed_POL_W2","interest_News_W2","interest_POL_W2","Type_MEDIA_W2","NOTIF_W2","Trust_News_W2","Efficacy_W1","Efficacy_W2","SM_use_W2","Total_Knowledge_W2","Total_Knowledge_W1","Total_FALSE_BELIEF_W2","Total_FALSE_BELIEF_W1","Total_TRUE_BELIEF_W2","Total_TRUE_BELIEF_W1","Total_TRUE_AWARE_W2","Total_TRUE_AWARE_W1","PLACEBO_awareness","right_W1","right_W2","left_W1","left_W2","Ukraine_W1","Ukraine_W2","Russia_W1","Russia_W2","Palestine_W1","Palestine_W2","EU_W1","EU_W2","Isreal_W1","Isreal_W2","Center_W1","Center_W2","Merged_Url_1","Merged_Url_2","EndDate_W1","EndDate_W2","Follow_1","Notif_1","Follow_2","Notif_2","BOTH","Day_W1","Day_W2","Diff_Day","Total_TRUE_BELIEF_W2_mean","Total_FALSE_BELIEF_W2_mean","SM_MAIN_W1","SM_MAIN_W2","notifications_perfect","notifications_at_least_one","screenshots_at_least_one","Total_DISCERN_W2","Total_DISCERN_W1","Wave","false_aware"
"1",269662341536856,"WA","Control","11",2,27,7,4,2,2,2,1,4,1,2,1,3,5,3,1,3,2,4,1,5,1,3,6,5,5,1,0,13,7,39,12,3,1,0,50,10,50,9,50,25,37,25,50,25,50,50,50,25,50,10,"https://ipz.qualtrics.com/Q/File.php?F=F_2qwLnEB8Xe6BNII","https://ipz.qualtrics.com/Q/File.php?F=F_qO2fdEGiTQjTHxv",2024-03-03 18:06:46,2024-03-15 19:35:19,1,1,1,1,1,"03","15",12,5.57142857142857,3.25,0,0,1,1,1,26,5,"1",0
"2",269662341536856,"WA","Control","11",2,27,7,4,2,2,2,1,4,1,2,1,3,5,3,1,3,2,4,1,5,1,3,6,5,5,1,0,13,7,39,12,3,1,0,50,10,50,9,50,25,37,25,50,25,50,50,50,25,50,10,"https://ipz.qualtrics.com/Q/File.php?F=F_2qwLnEB8Xe6BNII","https://ipz.qualtrics.com/Q/File.php?F=F_qO2fdEGiTQjTHxv",2024-03-03 18:06:46,2024-03-15 19:35:19,1,1,1,1,1,"03","15",12,5.57142857142857,3.25,0,0,1,1,1,26,5,"2",0
"3",269662341539947,"IG","Control","2",1,53,1,5,4,1,4,4,4,1,5,0,1,6,2,1,3,3,3,2,5,0,1,7,7,1,2,1,5,3,37,11,4,1,0,100,100,0,0,80,100,0,0,52,50,15,7,80,77,0,0,"https://ipz.qualtrics.com/Q/File.php?F=F_10JL4QIiAyC8jZR","https://ipz.qualtrics.com/Q/File.php?F=F_egGd24ZwndLpWhP",2024-03-01 14:26:24,2024-03-19 21:16:58,1,1,1,0,1,"01","19",18,5.28571428571429,1.25,0,0,0,1,1,32,8,"1",0
"4",269662341539947,"IG","Control","2",1,53,1,5,4,1,4,4,4,1,5,0,1,6,2,1,3,3,3,2,5,0,1,7,7,1,2,1,5,3,37,11,4,1,0,100,100,0,0,80,100,0,0,52,50,15,7,80,77,0,0,"https://ipz.qualtrics.com/Q/File.php?F=F_10JL4QIiAyC8jZR","https://ipz.qualtrics.com/Q/File.php?F=F_egGd24ZwndLpWhP",2024-03-01 14:26:24,2024-03-19 21:16:58,1,1,1,0,1,"01","19",18,5.28571428571429,1.25,0,0,0,1,1,32,8,"2",0
"5",269662341540978,"WA","Control","12",1,27,4,6,3,3,4,4,5,5,5,0,5,5,3,3,5,4,5,5,5,1,5,6,7,3,1,1,7,6,32,11,2,1,0,0,0,0,0,50,25,0,0,50,25,90,100,50,25,50,50,"https://ipz.qualtrics.com/Q/File.php?F=F_1IxYXZ4HD5qajcZ","https://ipz.qualtrics.com/Q/File.php?F=F_e8PuwGtR2j0Mc93",2024-03-02 02:21:38,2024-03-16 00:39:21,1,1,1,1,1,"02","16",14,4.57142857142857,1.75,0,0,1,1,1,25,5,"1",0
"6",269662341540978,"WA","Control","12",1,27,4,6,3,3,4,4,5,5,5,0,5,5,3,3,5,4,5,5,5,1,5,6,7,3,1,1,7,6,32,11,2,1,0,0,0,0,0,50,25,0,0,50,25,90,100,50,25,50,50,"https://ipz.qualtrics.com/Q/File.php?F=F_1IxYXZ4HD5qajcZ","https://ipz.qualtrics.com/Q/File.php?F=F_e8PuwGtR2j0Mc93",2024-03-02 02:21:38,2024-03-16 00:39:21,1,1,1,1,1,"02","16",14,4.57142857142857,1.75,0,0,1,1,1,25,5,"2",0
"7",269662341542009,"WA","Control","2",1,29,5,5,3,1,3,2,3,1,3,1,4,5,4,1,4,4,4,2,3,1,4,5,5,3,0,0,16,8,27,11,0,0,0,61,41,0,0,27,5,5,0,10,5,37,46,10,0,22,0,"https://ipz.qualtrics.com/Q/File.php?F=F_1dzvhvoo4fewjJL","https://ipz.qualtrics.com/Q/File.php?F=F_Y3QyFLsMWe5SjAt",2024-03-01 21:15:23,2024-03-15 16:30:02,1,1,1,1,1,"01","15",14,3.85714285714286,4,0,0,1,1,1,11,3,"1",0
"8",269662341542009,"WA","Control","2",1,29,5,5,3,1,3,2,3,1,3,1,4,5,4,1,4,4,4,2,3,1,4,5,5,3,0,0,16,8,27,11,0,0,0,61,41,0,0,27,5,5,0,10,5,37,46,10,0,22,0,"https://ipz.qualtrics.com/Q/File.php?F=F_1dzvhvoo4fewjJL","https://ipz.qualtrics.com/Q/File.php?F=F_Y3QyFLsMWe5SjAt",2024-03-01 21:15:23,2024-03-15 16:30:02,1,1,1,1,1,"01","15",14,3.85714285714286,4,0,0,1,1,1,11,3,"2",0
"9",269662341543044,"WA","Treatment","9",2,38,4,7,2,1,5,5,5,5,3,0,4,7,2,4,4,4,4,4,1,1,4,8,9,3,2,2,18,9,39,11,4,2,0,80,80,0,0,10,36,8,29,0,27,85,59,0,30,12,20,"https://ipz.qualtrics.com/Q/File.php?F=F_3jZm9yocQmes3CL","https://ipz.qualtrics.com/Q/File.php?F=F_2QSV6TnC1JCf6yd",2024-03-04 19:24:36,2024-03-15 18:38:16,1,1,1,1,1,"04","15",11,5.57142857142857,4.5,0,1,1,1,1,21,2,"1",0
"10",269662341543044,"WA","Treatment","9",2,38,4,7,2,1,5,5,5,5,3,0,4,7,2,4,4,4,4,4,1,1,4,8,9,3,2,2,18,9,39,11,4,2,0,80,80,0,0,10,36,8,29,0,27,85,59,0,30,12,20,"https://ipz.qualtrics.com/Q/File.php?F=F_3jZm9yocQmes3CL","https://ipz.qualtrics.com/Q/File.php?F=F_2QSV6TnC1JCf6yd",2024-03-04 19:24:36,2024-03-15 18:38:16,1,1,1,1,1,"04","15",11,5.57142857142857,4.5,0,1,1,1,1,21,2,"2",2
